lon,lat,thin
113.901987,22.70200956,0.41
113.9016971,22.70197267,0.41
113.9006742,22.70176577,0.41
113.8996294,22.70171794,0.41
113.9006372,22.70208342,0.41
113.9008205,22.70210212,0.41
113.9016008,22.70227407,0.41
113.9022418,22.70231984,0.41
113.9028566,22.7024918,0.41
113.9049979,22.7028772,0.41
113.9057748,22.70292319,0.41
113.9062115,22.70301011,0.41
113.9066597,22.70320368,0.41
113.9026727,22.70267629,0.41
113.9003508,22.70229738,0.41
113.9000205,22.70225662,0.41
113.9009552,22.70269672,0.41
113.9071441,22.70411223,0.41
113.90696,22.70408914,0.41
113.9069338,22.70408447,0.41
113.9066237,22.70401953,0.41
113.9065202,22.70400002,0.41
113.9064168,22.70397843,0.41
113.9063386,22.70396722,0.41
113.9063129,22.70396308,0.41
113.906287,22.70395859,0.41
113.9062358,22.70394788,0.41
113.9061588,22.70393177,0.41
113.9057091,22.7038514,0.41
113.9056313,22.70383386,0.41
113.9055262,22.70382079,0.41
113.9053152,22.70381235,0.41
113.9051606,22.7037722,0.41
113.9051356,22.70376308,0.41
113.905085,22.70374559,0.41
113.9048325,22.70365722,0.41
113.90468,22.70360845,0.41
113.9041796,22.70351673,0.41
113.9041535,22.70351215,0.41
113.9039667,22.7034872,0.41
113.9038864,22.7034763,0.41
113.903833,22.70346671,0.41
113.9038067,22.70346123,0.41
113.903754,22.70344828,0.41
113.9035452,22.70340081,0.41
113.903492,22.70339365,0.41
113.9034651,22.70339207,0.41
113.9033845,22.70339118,0.41
113.9032505,22.70338071,0.41
113.9030915,22.70335102,0.41
113.9030653,22.70334653,0.41
113.9016703,22.70316363,0.41
113.9014016,22.70316562,0.41
113.901258,22.70315695,0.41
113.901232,22.7031511,0.41
113.9011753,22.70324536,0.41
113.901308,22.70347401,0.41
113.9014651,22.70347405,0.41
113.9016688,22.7034894,0.41
113.9019194,22.70355841,0.41
113.9020402,22.70359908,0.41
113.9021286,22.70361941,0.41
113.9030437,22.70386887,0.41
113.9031413,22.70388804,0.41
113.9033441,22.70396531,0.41
113.9040511,22.70415293,0.41
113.904538,22.70422595,0.41
113.9047832,22.70426517,0.41
113.9048653,22.70428498,0.41
113.9048982,22.70429296,0.41
113.905014,22.70431658,0.41
113.9050989,22.70432875,0.41
113.9055163,22.70440583,0.41
113.9056635,22.70442508,0.41
113.905777,22.70443403,0.41
113.9058874,22.70445152,0.41
113.9059975,22.70446865,0.41
113.9061605,22.7045008,0.41
113.9063834,22.70453727,0.41
113.9064408,22.70454399,0.41
113.9064793,22.70454889,0.41
113.9069395,22.70463294,0.41
113.9067205,22.70482529,0.41
113.9061437,22.70471781,0.41
113.9058111,22.70465535,0.41
113.9051098,22.70461701,0.41
113.9044573,22.70451081,0.41
113.901655,22.70448625,0.41
113.9022897,22.70471472,0.41
113.9033875,22.70497792,0.41
113.9070813,22.70537037,0.41
113.9071183,22.70537475,0.41
113.9072477,22.70539487,0.41
113.9022282,22.70677638,0.41
113.9032391,22.70684395,0.41
113.9053279,22.70722803,0.41
113.903183,22.704566,0.41
113.9029945,22.70453793,0.41
113.9021322,22.70440863,0.41
113.9014698,22.70415621,0.41
113.9022501,22.70354933,0.41
113.9047049,22.70403302,0.41
113.9050866,22.69991619,0.41
113.9036707,22.69976302,0.41
113.9034555,22.69971088,0.41
113.9031825,22.69967306,0.41
113.9030618,22.69965603,0.41
113.9030153,22.69965723,0.41
113.9028356,22.6996095,0.41
113.9027488,22.69958165,0.41
113.9027098,22.69957541,0.41
113.902623,22.69956616,0.41
113.9024857,22.69952803,0.41
113.9018097,22.69938371,0.41
113.9017261,22.69940409,0.41
113.9016798,22.69941233,0.41
113.9015258,22.69934202,0.41
113.9014946,22.6993026,0.41
113.9013655,22.69918265,0.41
113.9010044,22.6991744,0.41
113.9006443,22.69913517,0.41
113.9006242,22.69912218,0.41
113.9000842,22.69900426,0.41
113.8999883,22.69898389,0.41
113.8999604,22.69897347,0.41
113.8997858,22.69885534,0.41
113.9030972,22.69096355,0.41
113.9030575,22.69095435,0.41
113.9027055,22.70749184,0.41
113.9039577,22.7076311,0.41
113.9052625,22.70767526,0.41
113.9055915,22.70767939,0.41
113.9018461,22.70640063,0.41
113.9027676,22.70657434,0.41
113.905996,22.70724747,0.41
113.9044768,22.7065867,0.41
113.9028835,22.70634434,0.41
113.902166,22.70587215,0.41
113.9029862,22.70604634,0.41
113.9031478,22.70606715,0.41
113.904907,22.70617364,0.41
113.9041315,22.70599522,0.41
113.9028599,22.70571623,0.41
113.9020569,22.70555228,0.41
113.9018001,22.70526641,0.41
113.9037878,22.70567798,0.41
113.9048305,22.70566102,0.41
113.9028799,22.70525366,0.41
113.9017312,22.70500375,0.41
113.9020018,22.69781717,0.41
113.9017942,22.69804477,0.41
113.9022473,22.69837573,0.41
113.899841,22.69820539,0.41
113.9004913,22.698301,0.41
113.9035102,22.69886049,0.41
113.9035827,22.69886685,0.41
113.903631,22.69887093,0.41
113.8998401,22.7011668,0.41
113.9056264,22.70042039,0.41
113.9056021,22.70041559,0.41
113.9009045,22.6996728,0.41
113.9053104,22.7071084,0.42
113.9001821,22.69937461,0.42
113.901057,22.69937905,0.42
113.9011281,22.69938272,0.42
113.9011763,22.69938076,0.42
113.9013198,22.69936805,0.42
113.9043462,22.70000898,0.42
113.9044648,22.70002514,0.42
113.9046265,22.70005452,0.42
113.905384,22.70014491,0.42
113.9073328,22.70063829,0.42
113.900097,22.69985659,0.42
113.9067115,22.70120954,0.42
113.9064573,22.70116831,0.42
113.9048487,22.70090069,0.42
113.9043725,22.70082378,0.42
113.9043211,22.7008137,0.42
113.9036355,22.7006775,0.42
113.9035591,22.70066454,0.42
113.9026231,22.70045662,0.42
113.90152,22.70005515,0.42
113.9010681,22.69995684,0.42
113.901043,22.69995188,0.42
113.9003097,22.6999586,0.42
113.8999003,22.69975817,0.42
113.8987002,22.69981991,0.42
113.8987853,22.69995014,0.42
113.8993088,22.70057831,0.42
113.8993733,22.70062759,0.42
113.8998283,22.70061979,0.42
113.9000066,22.70059219,0.42
113.9001616,22.70056221,0.42
113.9003385,22.700635,0.42
113.9004027,22.70067364,0.42
113.900516,22.70070137,0.42
113.9010059,22.70080467,0.42
113.9012138,22.70084602,0.42
113.9014036,22.70091108,0.42
113.9019329,22.70094615,0.42
113.9026515,22.70097309,0.42
113.9028411,22.70098752,0.42
113.9031098,22.70102524,0.42
113.9035242,22.7010966,0.42
113.903759,22.70105253,0.42
113.904631,22.70121585,0.42
113.9047531,22.70122735,0.42
113.9048125,22.70123584,0.42
113.9048708,22.70124344,0.42
113.9050745,22.70123053,0.42
113.905299,22.70123485,0.42
113.9053402,22.70124376,0.42
113.9054888,22.70130938,0.42
113.9055433,22.70133222,0.42
113.9057224,22.70147861,0.42
113.9061777,22.70164877,0.42
113.9063898,22.70167885,0.42
113.9064545,22.70160962,0.42
113.9068287,22.70188712,0.42
113.9067859,22.70187779,0.42
113.9065023,22.70183195,0.42
113.9063721,22.70180354,0.42
113.9062867,22.70177811,0.42
113.9061393,22.70172826,0.42
113.90583,22.70164751,0.42
113.9057633,22.7016266,0.42
113.905719,22.70161098,0.42
113.9056747,22.701595,0.42
113.9056088,22.70156939,0.42
113.9054574,22.70150545,0.42
113.9050568,22.70142536,0.42
113.9042606,22.70137565,0.42
113.9037645,22.7013065,0.42
113.903619,22.70128667,0.42
113.9035947,22.70128422,0.42
113.9028915,22.70116991,0.42
113.9028755,22.70115233,0.42
113.9027135,22.70092584,0.42
113.9023785,22.70077344,0.42
113.9023545,22.70076864,0.42
113.9021913,22.70071799,0.42
113.9020362,22.70065465,0.42
113.9019304,22.7006155,0.42
113.9018308,22.70059149,0.42
113.9017455,22.70059801,0.42
113.9016745,22.70059189,0.42
113.901483,22.7005636,0.42
113.9014357,22.70055516,0.42
113.9013175,22.70053619,0.42
113.9012232,22.70051994,0.42
113.9011533,22.7005036,0.42
113.9007252,22.70045641,0.42
113.9002768,22.70040046,0.42
113.8994942,22.70074075,0.42
113.8999259,22.70082282,0.42
113.9013325,22.70120272,0.42
113.9014384,22.70123501,0.42
113.9030155,22.70146505,0.42
113.90489,22.70172019,0.42
113.9052574,22.70183779,0.42
113.9056144,22.70199467,0.42
113.9059433,22.70209456,0.42
113.9062086,22.70209957,0.42
113.9064602,22.70209969,0.42
113.9065629,22.70210649,0.42
113.90661,22.70235465,0.42
113.9064695,22.70230865,0.42
113.9064238,22.70229341,0.42
113.9059467,22.70216526,0.42
113.9054523,22.70209698,0.42
113.9053341,22.70208298,0.42
113.905053,22.70203727,0.42
113.9039947,22.701887,0.42
113.9039032,22.70185806,0.42
113.9036249,22.70179299,0.42
113.9035792,22.70178416,0.42
